EncryptDecryptAES(128),EncryptDecryptAES(192),EncryptDecryptGenAES(256)
0.0012886000000000009,0.0008843999999999796,0.0004627000000000103
0.0007199999999999984,0.0010957999999999801,0.0007761999999999769
0.0006938999999999973,0.0008613999999999844,0.00261119999999998
0.0012996000000000119,0.0012376000000000054,0.0014228000000000018
0.0009828000000000059,0.0004991999999999774,0.0007693000000000283
0.00042930000000002133,0.0008181999999999912,0.0007198999999999955
0.0014168999999999987,0.0016806999999999794,0.0011285000000000323
0.0010588000000000264,0.00068109999999999,0.0004686000000000412
0.0004257999999999762,0.0008733999999999686,0.0004062000000000232
0.0004553999999999947,0.0007542000000000382,0.00041610000000003033
0.0004163000000000361,0.0009195000000000175,0.0020555999999999908
0.00041079999999998895,0.00041720000000000645,0.00048199999999998244
0.0005130999999999886,0.0010155000000000025,0.00040919999999999845
0.00040640000000002896,0.00040999999999996595,0.0004058000000000117
0.0006473000000000173,0.00045330000000004533,0.0004106000000000387
0.0004065999999999792,0.00040770000000001083,0.0004095000000000071
0.0004632999999999998,0.00076989999999999,0.0004186000000000467
0.0008951999999999849,0.0004062000000000232,0.0004855000000000276
0.0011901000000000272,0.0012507999999999964,0.0011759000000000075
0.001752599999999993,0.0016596999999999862,0.0019990000000000285
0.0011569000000000162,0.0004081999999999697,0.0004159000000000246
0.0009480000000000044,0.0008632000000000084,0.0008801999999999977
0.00041889999999999983,0.0008620999999999768,0.001280300000000012
0.0010938000000000336,0.0010469000000000173,0.0004065999999999792
0.0004089999999999927,0.0005000000000000004,0.0004087000000000396
0.0005025000000000168,0.0004104999999999803,0.0004060999999999648
0.0011960999999999777,0.0011122000000000076,0.0007514000000000132
0.0004022000000000192,0.00040570000000000883,0.00040960000000000996
0.0004114000000000062,0.00040560000000000596,0.00041520000000000445
0.00253220000000004,0.0012755999999999879,0.0004082999999999726
0.00040560000000000596,0.0010166999999999815,0.0009159999999999724
0.0008817999999999881,0.0008700000000000374,0.0009413999999999811
0.0004058000000000117,0.00040560000000000596,0.00040850000000003384
0.00044999999999995044,0.00040170000000000483,0.0009963000000000055
0.0004215000000000191,0.0004191000000000056,0.0010093999999999936
0.0005388000000000059,0.00046519999999999895,0.00040600000000001746
0.00040570000000000883,0.00040650000000003184,0.00042720000000001646
0.0004371000000000236,0.0004110999999999976,0.0004081999999999697
0.00040800000000001946,0.0004801999999999862,0.00040600000000001746
0.0012520999999999782,0.0015955999999999748,0.00044909999999998007
0.00040570000000000883,0.0004058000000000117,0.0006311999999999984
0.00041589999999996907,0.0009957000000000438,0.0004083000000000281
0.00040560000000000596,0.00040889999999998983,0.0004127000000000436
0.0004066999999999821,0.0004058000000000117,0.0004113999999999507
0.00040930000000000133,0.0004062000000000232,0.00040560000000000596
0.0004058000000000117,0.00043159999999997645,0.000887899999999997
0.00170300000000001,0.0009009000000000378,0.00040570000000000883
0.00040570000000000883,0.0008325000000000138,0.0008630000000000027
0.00041130000000000333,0.00120389999999998,0.0008861000000000008
0.0004098000000000157,0.0007473000000000063,0.0008701000000000403
0.0010760999999999687,0.001175499999999996,0.0008848000000000189
0.0007531000000000065,0.0012801000000000062,0.0014943999999999513
0.00040640000000002896,0.0012177000000000437,0.00047429999999998307
0.0004366000000000092,0.000726300000000013,0.0006360999999999728
0.0004386000000000112,0.0004200999999999788,0.00041570000000001883
0.00040570000000000883,0.0004099000000000186,0.00040930000000000133
0.0004482000000000097,0.00040610000000002033,0.0009328000000000114
0.0004066999999999821,0.0009577000000000058,0.0005226000000000397
0.0004084999999999783,0.0004066999999999821,0.00040560000000000596
0.001013099999999989,0.0006203999999999654,0.0012481000000000297
0.0007285000000000208,0.0008812999999999738,0.0007593999999999657
0.0007755999999999874,0.0005666999999999756,0.0015150999999999915
0.000930299999999995,0.0012396000000000074,0.0015728999999999882
0.002684299999999973,0.0006985999999999937,0.0010932999999999637
0.0004966000000000137,0.00040570000000000883,0.00040599999999996195
0.000724699999999967,0.0004122999999999766,0.00041279999999999095
0.00047110000000000207,0.0009893999999999736,0.0016796999999999507
0.000993899999999992,0.0009429000000000243,0.0009307999999999539
0.0005028000000000254,0.000634699999999988,0.000865899999999975
0.0004130999999999996,0.0005260999999999738,0.0004122999999999766
0.0005335000000000201,0.0004356999999999833,0.0004026999999999781
0.0004118000000000177,0.0004061999999999677,0.0008460000000000134
0.0005237999999999632,0.00042189999999997507,0.0012550000000000061
0.0006272999999999973,0.00040610000000002033,0.0004059000000000146
0.00040560000000000596,0.0008331999999999784,0.000725899999999946
0.000617099999999926,0.001343499999999942,0.0012573000000000167
0.0015368000000000048,0.0009320000000000439,0.0016068000000000193
0.0013096000000000219,0.0008038999999999685,0.0004058000000000117
0.000906700000000038,0.0010253000000000068,0.0009029999999999871
0.0004277999999999782,0.0011282000000000236,0.0004496999999999973
0.0004096999999999573,0.00041089999999999183,0.0004056999999999533
0.00040570000000006434,0.0004095000000000626,0.00040589999999995907
0.0008945999999999676,0.001072000000000073,0.0004094000000000042
0.0004023000000000776,0.00040560000000000596,0.00040879999999998695
0.00040799999999996395,0.00040600000000001746,0.00044440000000001145
0.0005100000000000104,0.0017606999999999484,0.0005433999999999717
0.0004897000000000373,0.0004088999999999343,0.00042160000000002196
0.00040570000000006434,0.0004058000000000117,0.00040829999999991706
0.0004083000000000281,0.0004355000000000331,0.0004064999999999763
0.0004518000000000022,0.00040989999999996307,0.0006017000000000383
0.0008681000000000383,0.0008689000000000613,0.0008695999999999149
0.0006421999999999262,0.00040759999999995244,0.00040600000000001746
0.001030700000000051,0.00046599999999996644,0.0009646999999999295
0.0012585000000000512,0.0006432000000000659,0.00048410000000009834
0.00041159999999995645,0.00042520000000001446,0.000948299999999902
0.0005342000000000402,0.0005739000000000161,0.0004931000000000241
0.0005066999999999711,0.00042120000000001045,0.00042359999999996845
0.0004547000000000301,0.0004058000000000117,0.00041760000000001796
0.0004151000000000016,0.0007918000000000092,0.00040570000000006434
0.0005245000000000388,0.0004418999999999951,0.0004849000000000103
